name,pieces,minifigs,image
 Brick Bank,2380,5,https://images.brickset.com/sets/small/10251-1.jpg?201510121127
 Volkswagen Beetle,1167,,https://images.brickset.com/sets/small/10252-1.jpg?201606140214
 Big Ben,4163,,https://images.brickset.com/sets/small/10253-1.jpg?201605190256
 Winter Holiday Train,734,5,https://images.brickset.com/sets/small/10254-1.jpg?201608110306
 XL Creative Brick Box,1600,,https://images.brickset.com/sets/small/10654-1.jpg?201609271134
 Creative Building Set,583,,https://images.brickset.com/sets/small/10702-1.jpg?201511230710
 Creative Building Basket,1000,,https://images.brickset.com/sets/small/10705-1.jpg?201605201119
 Police Helicopter Chase,63,2,https://images.brickset.com/sets/small/10720-1.jpg?201601050913
 Iron Man vs. Loki,66,2,https://images.brickset.com/sets/small/10721-1.jpg?201601050913
 Snake Showdown,92,2,https://images.brickset.com/sets/small/10722-1.jpg?201601050913
 Ariel's Dolphin Carriage,70,1,https://images.brickset.com/sets/small/10723-1.jpg?201601050913
 Batman & Superman vs. Lex Luthor,164,3,https://images.brickset.com/sets/small/10724-1.jpg?201605201119
 Lost Temple,172,3,https://images.brickset.com/sets/small/10725-1.jpg?201601050913
 Stephanie's Horse Carriage,58,1,https://images.brickset.com/sets/small/10726-1.jpg?201605201119
 Emma's Ice Cream Truck,136,2,https://images.brickset.com/sets/small/10727-1.jpg?201605201119
 Mia's Vet Clinic,173,2,https://images.brickset.com/sets/small/10728-1.jpg?201605201119
 Cinderella's Carriage,116,2,https://images.brickset.com/sets/small/10729-1.jpg?201601050913
 Baby Animals,13,,https://images.brickset.com/sets/small/10801-1.jpg?201511230710
 Savanna,18,1,https://images.brickset.com/sets/small/10802-1.jpg?201511230710
 Arctic,40,2,https://images.brickset.com/sets/small/10803-1.jpg?201511230710
 Jungle,86,2,https://images.brickset.com/sets/small/10804-1.jpg?201511230710
 Around the World,163,5,https://images.brickset.com/sets/small/10805-1.jpg?201601050913
 Horses,20,1,https://images.brickset.com/sets/small/10806-1.jpg?201511230710
 Horse Trailer,15,2,https://images.brickset.com/sets/small/10807-1.jpg?201511230710
 Little Plane,13,1,https://images.brickset.com/sets/small/10808-1.jpg?201511230710
