headline,link,text
"
Incidence of HIV on the decline in Tamil Nadu, says Minister
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Incidence-of-HIV-on-the-decline-in-Tamil-Nadu-says-Minister/article16013192.ece,"Special Correspondent,
,
,CHENNAI: The Red Ribbon Express (RRE), with a cargo of information about HIV/AIDS arrived here to a rousing reception on Thursday.,The train, which began the second phase of its nation-wide run on December 1, entered the State on March 14 at Nagercoil.,Since then, it has attracted over 1.22 lakh visitors during a journey through the heartlands of Nagercoil, Virudhanagar, Madurai, Ramanathapuram, Coimbatore, Salem and Virudhachalam.,Addressing a function to accord a reception to the RRE at Chennai Central, Health Minister M.R.K. Paneerselvam said incidence of HIV was on the decline in the State as a result of focussed government intervention and public awareness.,People's response to the awareness train was phenomenal and exceeded expectations.,Health Secretary V. K. Subburaj said the State was spending about Rs.100 crore every year on HIV/AIDS management.,This year, the train was also putting the spotlight on issues such as TB.,Jothi Nirmala, Project Director, Chennai AIDS Prevention and Control Society, Bimal Charles, project director and Sathyabhama, Chennai Deputy Mayor, were among those present.,According to the organisers, the eight-coach train has covered 3,442 villages in 10 districts in the State.,While over 3,278 men and 1,296 women received counselling, about 570 persons were given treatment for sexually transmitted diseases.,The aims of the RRE are to disseminate information on prevention, develop better understanding about infection to reduce stigma and discrimination and motivate people to adopt preventive health habits and lifestyle.,The target groups are the rural and semi-urban youth, women's groups, out-of-school youth in communities, members of village health and sanitation committees.,The RRE will be stationed on Platform 11 at Chennai Central for public view between 10 a.m. and 6 p.m. on Friday before leaving for Andhra Pradesh."
"
HIV free: Zuma
",http://www.thehindu.com/todays-paper/tp-international/HIV-free-Zuma/article16025890.ece,"Johannesburg: South African President Jacob Zuma on Sunday declared himself free of the deadly HIV virus, as he launched a drive to combat the disease in the world's worst-affected country.,“My April results, like the three previous ones, registered a negative outcome for the HIV virus,” said Mr. Zuma,Mr. Zuma (68) took the test to promote the campaign. He has three wives and came under pressure after it emerged that he had fathered a child out of wedlock. — PTI"
"
‘Doc, do I have AIDS?'
",http://www.thehindu.com/todays-paper/tp-features/tp-metroplus/lsquoDoc-do-I-have-AIDS/article15709881.ece,"‘Rule out first, rather than regret later' is the mantra. However, some people constantly fear they might be suffering from some ailment. Neeraja Murthy reports,This may sound like the story of your life. You spend long hours in front of the computer, have a cushy job and are chilled out with a fast-paced lifestyle. But, there is one botheration - you are fit and fine but feel you might be suffering from some ailment. Your negative laboratory tests do not convince you and you change the doctor in the hope of a satisfactory reply. Welcome to the world of ‘Doubting Thomases' who have wealth and comfort but no peace of mind because of constant fear. “It is basically a psychological disorder. They are called hypochondriacs and the other disorder is Munchausen's Syndrome,” states psychiatrist G. Prasad Rao. Dictionary defines Munchausen's Syndrome ‘as a mental disorder in which a person repeatedly feigns severe illness so as to obtain hospital treatment.',“These people are quite internet-savvy and have similar characteristics. They are always seen visiting specialists with a bag filled with reports, ECGs, X-rays, scans and tests. Instead of facing the reality of visiting a psychiatrist for therapy, they suffer and in turn the family suffers too. They are even nick-named ‘Dr Shoppers',” says the doctor. Awareness campaigns and the importance given to ‘how-to-be-healthy' stories on the small screen and newspapers have made a positive sea change in the mindset.,The mantra is to ‘rule out first rather than regret later.' “This is quite a good trend but these health freaks pick only things they like and try to compare them with their body changes. Like, if they have been visiting the bathroom quite often, they suspect they might be diabetic. Frequent urination is only one of the symptoms of diabetes. Symptoms do not always mean that one has the problem,” says homoeo consultant Dr. Venugopal Gouri. He says these people have extremes of moods and are paranoid and anxious all the time.,Even as psychiatrists say men and women are equally prone to this disorder, Dr. Venugopal feels women might be more affected as they are more stressed-out than men (due to multi-tasking) and hormonal changes.,Hiral, a counsellor working at KIMS and Lotus Children's Hospital, says these disorders should not be mistaken with lies told by children to bunk school. “Some kids often pretend to have stomach ache to avoid going to school. That could be due to fear of getting the report card or writing some test.”,Hiral also says counsellors face a lot of challenges including non-cooperation by clients. Recalling an incident, she says, “One client had undergone a blood transfusion. He got high fever and was convinced that he had AIDS. I tried to counsel him but he was not happy with my sessions as I did not tell him what he wanted to hear.”,Infertility expert Dr. Roya Rozati has the final word though. “Just because some people have some disorder, it should not stop others from updating themselves about different health-related issues. If there is no awareness, there is every possibility that they know about an ailment at a last stage. Not just that, some quacks with incomplete knowledge might also take them for a ride.”"
"
To reduce stigma in interacting with HIV affected
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/To-reduce-stigma-in-interacting-with-HIV-affected/article16027054.ece,"Staff Reporter,Nagercoil: The Self Help Group women in the villages are not only accepting the HIV patients but are providing them financial support to sustain their livelihood. The credit for this humane act goes to the story telling club members in different parts of the district.,The members of the self help groups have been involved in reducing stigma and discrimination related to HIV/AIDS among the school children and the community through story telling clubs in schools.,The story tellers from the 36 story telling clubs in the schools have already completed the sensitization of 18,500 school children against the stigma through story telling sessions. The impact had already been assessed through interaction of HIV positive persons and the school children. Now it has shifted the focus to the villages, particularly the Self Help Group women promoted by the local NGOs.,The modus operandi is simple but effective. The local NGOs organised meetings of SHGs in which the story tellers from the schools tell stories on stigma/discrimination developed by them based on real life case studies. This sensitization will continue till they agreed to accept the HIV positive people and established social interaction with them.,On a particular date, the SHG women, HIV positive person, preferably women and the story teller used to meet in the village and then started their emotional social interaction. The HIV positive person narrated the agony and pain suffered due to stigma and discrimination as well as the economic hardship suffered by her due to this inhuman social exclusion. Moved by the heart rending history of the affected person, the women share snacks with the affected woman, consoled her and collected money from their savings for her.,So far, the Vasantham Trust has conducted such interaction with more than 75 SHGs. Recently a local NGO, CHARDEP has organised two social interactions in two coastal villages – Enayamputhenthurai and Colachel in which more than 80 women, two HIV positive persons and two story tellers from the schools participated.,C. Chandra Kala, Director of Vasantham Trust said that this program was intended to reduce stigma through creating an enabling social atmosphere.,The ultimate aim was to create Kanyakumari a stigma free district."
"
Why feel ashamed of HIV/AIDS?
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Why-feel-ashamed-of-HIVAIDS/article16337775.ece,"Staff Reporter,
,
,TIRUCHI: Is incidence of HIV-AIDS confined to high risk groups like lorry drivers and commercial sex workers? What about doctors, lawyers, lecturers and others?,All are evenly vulnerable to the dreaded disease. Only if people are sensitised to the fact that it is a threat to humanity can social ostracism of people living with HIV-AIDS be tackled, according to A. Thamil, Project Coordinator, Network for Positive People in Tiruchi.,The affected people continue to suffer on counts of denial of water from public taps, inheritance rights, and education for children, she said, observing that of late the district administration has come forward to support them.,Ms. Tamil was interacting with students of Seethalakshmi Ramaswami College on Thursday as one of the speakers in the panel discussion on ‘HIV-AIDS awareness’ organised by the College’s Red Ribbon Club (RRC).,Other speakers were A. Sonalee, Managing Trustee, Transgender Community Action Network, and K. Jeyapal of Integrated Counselling and Testing Centre at Annal Gandhi Memorial Government Hospital here.,Creating youth awareness is of vital importance at this juncture to keep the disease at bay, she said, pointing out that the disease wiped out people in the prime of youth.,Emphasising on peer counselling to face the challenge, Ms. Thamil felt there was no reason for the younger generation to feel ashamed of HIV/AIDS. Voluntary testing before marriage was as important as horoscope matching since, in numerous cases, women realised that they have been afflicted by the disease only during pregnancy.,Ms. Sonalee exhorted the society to consider transgenders as women. Neglect by own families is the prime cause for the social exclusion of transgenders, she said, observing that their predicament was precipitated by denial of jobs.,Explaining the chromosome factor as the determiner of physical and mental conditions of an individual, she said leading a pitiable life was not a matter of choice for transgenders. Ms. Sonalee lauded the Government’s initiatives to create a welfare board for transgenders and provide them with ration cards as right steps.,Mr. Jeyapal explained that the disease spread through unsafe sex, syringes and blood transfusion. There were methods to prevent mother-to-child transmission in the womb. Anti-retroviral drugs were available in all district headquarters hospitals, he said. RRC Programme Officer S. Vijayarani and Youth Red Cross Programme Officer Dhanalakshmi also took part in the panel discussion."
"
AIDS awareness programme inaugurated
",http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/AIDS-awareness-programme-inaugurated/article16027121.ece,"Special Correspondent,
,
,VISAKHAPATNAM: A two-day awareness programme on AIDS and HIV, being conducted by the Central Board for Workers Education , with the help of IOL, was inaugurated here on Tuesday.,Commissioner of Provident Fund Organisation Ajit Kumar, while inaugurating the programme, said this was an important programme since the youth who would be taking an important role in building up the nation in the near future must have a total understanding about health and education.,Director of Eastern Zone of CBWE S.K. Roy, who presided, said that the main aim of the programme was to make the workers educators working in Hyderabad, Visakhapatnam and Vijayawada regional offices fully aware of the aspect of AIDS and HIV prevention at work places.,CBWE, through its 50 regional offices and 250 labour officers was trying to educate the workers at their workplaces about AIDS and HIV.,Regional Director of CBWE M.J. Upadhyaya felt that if the officials had total understanding of AIDS and HIV, prevention would be better.,Programme Officer of ILO (New Delhi) P. Joshila said the programme was also indirectly helping in the awareness programmes in the villages since the officials of the CBWE's regional offices spread all over the country were taking up programmes in the rural areas also.,Additional District Medical and Health Officer and District Nodal Officer for AIDS P. Rajendra Prasad is the resource person of the two-day programme. Andhra Pradesh State Coordinator of CBWE Y. Aruna Sri and Tamil Nadu State Coordinator P. Murthy and others participated."
"
Creating awareness of AIDS
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Creating-awareness-of-AIDS/article16341408.ece,"VANIYAMBADI: Youth Red Cross and Red Ribbon Club of Marudhar Kesari Jain College for Women, Vaniyambadi, organised an awareness programme on HIV/AIDS here on Wednesday. S. Athisayaruben, District Manager, Red Ribbon Club, Vellore, said that students should come forward to create awareness among rural masses."
"
Call for greater awareness on HIV, AIDS
",http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Call-for-greater-awareness-on-HIV-AIDS/article16026393.ece,"Staff Reporter,
,
,Kakinada: District Collector M Ravi Chandra has called for greater public awareness on HIV/AIDS and wanted discriminatory attitude to victims of the disease to be given up.,More than the disease itself, social stigma was a painful thing to endure, he observed after inaugurating the National AIDS Control Organization (NACO)'s Red Ribbon Express at Kakinada town station on Monday.,Red Ribbon Express is a special train of NACO which is aimed at creating awareness on HIV/AIDS. This is the second round of the anti – AIDS campaign train that began on December 1, 2009. In the first phase, the Red Ribbon Express had travelled 27,000 km across the country and it was visited by 6.20 million people at over 180 stations.,Mr. Ravi Chandra said the Red Ribbon Express was educating the people about the importance of preventing HIV/AIDS which had assumed epidemic proportions. Only awareness and collective action would check the menace.,The prevalence of AIDS in East Godavari district could be brought down to 1.88 percent from 2.75 percent through persistent actions by the AIDS Control Department.,The district has 65 Integrated Counselling and Testing Centres and two anti-retro viral therapy centres helping the victims of HIV/AIDS overcome the health problems caused by immune deficiency and psychological trauma.,Kakinada Mayor K Saroja said concerted effort was needed to eradicate HIV/AIDS just as the polio menace was almost fully checked.,Red Ribbon Express coordinator Daman Ahuja, Government General Hospital superintendent MBR Sarma, DMHO D Vijay Kumar, Additional DMHO and District AIDS Control Officer M Pavan Kumar and others were present."
"
Metal Men spread awareness on AIDS
",http://www.thehindu.com/todays-paper/tp-features/tp-downtown/Metal-Men-spread-awareness-on-AIDS/article16148884.ece,"A team of 25 young men, all proud owners of Thunderbird, set for Kanyakumari on August 7 by about 7.30 a.m. This group, called Metal Men, are bikers with a cause. It had plans of covering a distance of 1,500 km in three days with a mission. The mission was to spread awareness on AIDS. The group joined hands with TANSACS for spreading the social message to the public. The team was flagged off by Shambhu Kallolikar, Project Director TANSACS and by Alex Parimalam, Joint Director, TANSACS from Gandhi Mandapam, Adyar.,Just after the team was flagged off, it zoomed to cover districts such as Kancheepuram, Chengleput, Vilupuram, Tiruchy, Tirunelveli, Nagercoil and Kanyakumari. It covered 16 colleges, seven TANSACS chapters across the State and several youth hostels. At Tiruchy the group met the collector, T. Soundiah, who appreciated and congratulated the team for taking up such an initiative.,The group successfully completed the mission and ended the rally to form a symbol of ‘Illavattam' in the Nehru Stadium on August 10.,“We are aiming at making this team as a reforming tool in brining a change in the society in the days to come. We are looking forward to conduct rallies on environment, save tigers, child rights, health and hygiene, neat and safe Chennai,” said Kurella Vinay Babu, the founder of Metal Men. Vinay can be reached at 99412 04219.,Staff Reporter"
"
“HIV-TB co-infection increasing”
",http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/ldquoHIV-TB-co-infection-increasingrdquo/article16137358.ece,"The incidence of HIV-TB co-infection is increasing in the western districts of Namakkal, Salem, Coimbatore and Erode and must be addressed immediately, V.K.Subburaj, Principal Secretary, Health, said.,The incidence was over 24 per cent in Karur, while globally, 15 per cent of people with HIV develop tuberculosis, he added. The government was trying to address this by increasing the special attention paid to these districts. The reason Tamil Nadu has not made significant progress in addressing TB-HIV is because it has not been integrated into the public health system. He was speaking at the launch of the Global Fund Round 9 programme for civil society engagement organised in the city by REACH on Wednesday.,The State will also consider a proposal to introduce a multi-sectoral approach within various health departments to address the issues posed by TB, its detection, treatment, cure and resistant strains. At the local level, the health inspectors have been instructed to be involved with and take responsibility for all diseases that occur at the village level.,Another problem is that the TB control units are small and suffer from manpower shortage. The government is trying to address that as well, by posting qualified personnel in the labs and PHCs.,Mr. Subburaj stressed that emphasis must be given on the need to stick through the course of the drug regimen, in order to avoid drug-resistant TB. What would be a six-month treatment period gets extended to two years, with more complications if drug resistance develops, he added.,Rajesh Lakhoni, Chennai Corporation Commissioner, said the tendency among persons detected with TB to go into denial first, leads to delay in taking up treatment. It was also important to stick to the regimen prescribed throughout the period of six months.,“Despite all our efforts to reach out, the city continues to have a defaulter rate of about seven to eight per cent. In order to improve the case detection rate, we are going to have 155 detection centres in the city in the next six to eight months,” he added. Also, the Corporation's helpline 1913 can also be used to arrange for collection of blood at the doorstep itself.,P.Kuganantham, Health Officer, Chennai Corporation, said the civic body intends to mainstream HIV and TB detection and treatment activities."
