headline,link,text
Media Advocacy workshop on HIV/AIDS,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/Media-Advocacy-workshop-on-HIVAIDS/article16343371.ece'],)","Staff Reporter,
,
,Srikakulam: The Youth Club of Bejjipuram (YCB), in partnership with the Hindusthan Latex Family Planning Promotion Trust and the Bill Gates Foundation, which had been engaged in creation of awareness programmes relating to prevention of HIV/AIDS in the district since 2004, organised a Media Advocacy workshop at Press Club here on Wednesday.,Coordinator of YCB Siva Mohan Prasad, addressing media representatives, stated that the incidence of HIV/AIDS in the district was 1.5 per cent.,He said women sex workers, homosexuals and transgender population were the high-risk groups that were instrumental in spreading the virus. The YCB had been interacting with high-risk groups on an individual basis to educate them on the fast-spreading virus.,During the past four years, the YCB had identified 1,800 women sex workers and 900 homosexuals including transgenders in the course of their awareness programmes at several places in the district. The YCB activists were able to convince those engaged in sex work to use condoms in a bid to prevent the spread of AIDS.,Several demonstrations had been organized for effectively using condoms during sexual encounter with sex workers.,Exhibitions educating the general public on the use of condoms were part of the awareness campaigns of the NGO.,Coordinator Siva Mohan Prasad appealed to media representatives to refrain from publishing the names and photographs of AIDS victims while publishing educative articles on the subject, in view of the social stigma attached to the disease.,The YCB, he said, was running three special clinics for HIV/AIDS victims.,He said due to the efforts put in by the organisation the percentage of those suffering from venereal diseases had during the past four years declined from 41 per cent to 20 per cent in the district.,The YCB has been engaged in creating awareness among truck drivers and the highway travellers by operating condom boxes at petrol bunks, high way restaurants, dhabas and bus stations. The organization is also extending a support programmes to families of AIDS victims."
The untold story of HIV positive children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece'],)","With a total of 1,745 HIV-positive cases registered between January and October 2010, the district ranks 10th in the State in terms of the number of people infected. Gulbarga district has the highest number of HIV/AIDS cases in the State.,A total of 45,085 people were tested for HIV between 2002 and October 2010 in Raichur district and 7,388 proved positive. A total of 224 people died of AIDS between 2002 and October 2010 in the district.,According to Narayanappa, Raichur district AIDS Nodal Officer, HIV cases in the district have come down in the last four years following widespread AIDS awareness campaigns taken up by the Health and Family Welfare Department.,While 30 per cent of HIV tests came out positive in 2002, only 10 per cent have shown positive this year.,According to a report released by the department here, as many as 15,777 persons, including 8,942 men, from five taluks in the district were tested for HIV between January and October 2010. Of these, 1,745 cases, including 950 men, were positive for the disease.,Among pregnant women, the department tested a total of 19,514 for HIV between January and October 2010. Of these, 97 were positive. Dr. Narayanappa told , on Wednesday that the department has been conducting free HIV tests for women. Those with HIV will be issued Yeshasvini cards for free treatment at any government or private hospital in the district.,Twenty-four Integrated Counselling and Testing Centres have been functioning in the district, apart from the 18 primary health centres with free HIV-testing facility.,
,
,He said the department, in coordination with the district administration and non-governmental organisations, has chalked out AIDS awareness programme in the district on Wednesday to mark World AIDS Day.,A jatha, commencing from the Deputy Commissioner's office, will be taken out in Raichur city to create awareness on AIDS. Later, a seminar will be held at the conference hall of the Indian Medical Association."
Loan scheme for people with HIV yielding results,"(['http://www.thehindu.com/todays-paper/tp-national/tp-karnataka/Loan-scheme-for-people-with-HIV-yielding-results/article16344548.ece'],)","M. Ahiraj,
,
,
,
,BELLARY: The new scheme launched by the Bellary District Aids Prevention Society (BDAPS), in association with the United Nations Development Programme (UNDP), to help HIV-affected people and their families, has started yielding results.,Dakshayini and her husband have been living with HIV for the past eight years, and have been under Anti-Retroviral Therapy (ART). She is a field worker with Nityajeevana, an organisation of people with HIV/AIDS, and her husband a worker in the Bellary, Koppal and Raichur Milk Producers’ Union here. The couple have two children, both of whom do not have HIV. Today, she is all smiles as she is able to earn and supplement the family’s income owing to the loan scheme extended by the BDAPS.,“I availed myself of Rs. 15,000 as loan under the scheme with which I have started a sari and dress material selling business at my house in Shastri Nagar, with the help of my aunt. People, especially women in the neighbourhood, come regularly to purchase saris and dress materials from me on instalment basis. On an average, I earn around Rs. 5,000 a month,” Ms. Dakshayini told The Hindu. In addition, she continues her field visits to collect details of people living with HIV and verify whether the beneficiaries of the loan scheme have been repaying their instalments promptly.,Another notable feature has been that the stigma attached to the disease seems to be on the wane, if the way the women freely walking into the house of Ms. Dakshayini to buy saris is any indication.,Lokesh, a tailor who is also HIV-affected, has purchased a sewing machine attached with a motor, and has been stitching garments as well as undertaking sub-contracts in the field. “With one sewing machine I purchased earlier, I was working on a temporary basis. After getting the second one, my wife has also been working with me. In addition, I undertake sub-contracts to stitch garments. The loan scheme has really helped me,” he says.,The two are among 124 beneficiaries of the scheme spread all over the district. In all, 274 HIV-affected people have applied for loans. Perhaps for the first time in the country, an organisation such as the BDAPS, which has been set up with the Deputy Commissioner as the ipso facto Chairman, to monitor the implementation of the Coordinated HIV/AIDS Response through Capacity Building (CHARCA) Project, sponsored by the UNDP, thought of economic empowerment of HIV-affected people and their families, by arranging for bank loans so that they could take up various employment avenues.,Bellary is the only district in the State, and among six in the country where the CHARCA programme was implemented due to the high incidence of HIV/AIDS. Under the programme, various activities relating to knowledge dissemination, education and communication were undertaken to improve the lifestyle of those affected.,Owing to the initiatives by then Deputy Commissioner Arvind Srivastav, the UNDP agreed to sanction a sum of Rs. 30 lakh for the scheme. Bankers were also persuaded to come forward to give a matching grant in the form of loans. The attitude of the bankers, who were initially apprehensive over lending to HIV-affected people on the ground that their life span was short, indirectly affected the launch of the scheme. Detailed discussions with them helped bring about a change in approach, after which the Pragathi Grameen Bank, the State Bank of Mysore and Syndicate Bank, agreed to extend loans (Rs. 30,000 for dairy activities, Rs. 24,000 for sheep rearing and Rs. 15,000 for business, mostly supporting existing skills) with a 50 per cent subsidy to be given by BDAPS.,“Twenty more applications from people living with HIV are ready for clearance and a subsidy amount of Rs. 1.86 lakh has been released. Soon, the loan amount will be disbursed,” Dr. Jayakumar, District Health Officer, told The Hindu."
HIV positive cases in district,"(['http://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/HIV-positive-cases-in-district/article16356271.ece'],)","NIZAMABAD: Between 2002 and 2008, in the district, 6,886 HIV positive cases were identified among 1.52 lakh people who had undergone the tests, according to the District AIDS Control Officer, Dr. Dinesh.He disclosed the figures while participating in a meeting organized to unveil the action plan on HIV/AIDS.,- Staff Reporter"
HIV cases on the rise,"(['http://www.thehindu.com/todays-paper/tp-national/tp-otherstates/HIV-cases-on-the-rise/article15578581.ece'],)","Bordering backward pockets of Orissa that report large scale migration are witnessing gradual increase in population being affected by HIV.,Researchers at the Orissa State AIDS Control Society were surprised to find the rise in detection of HIV Positive every month from these regions.,OSACS sources said Nabarangpur was the biggest surprise for health administrators as this small backward region bordering to Chhattisgarh report 30 to 40 new HIV cases every month.,Similarly, Koraput is another southern district where detection of HIV positive is going up.,Monthly reports from past one year said about 30 new positive cases came to the light. Bolangir which is known for its large migration population too report increasing number of HIV positive cases.,OSACS sources said district labour officers were asked to intercept small traders from Andhra Pradesh who came to Koraput to secure raw spices commodities. It was found that these small traders were invariably carrying condom packets which were indicative of their high sexual behaviour.,Researchers say gullible people in the backward regions without having knowledge about HIV and AIDS were falling prey to the killer disease.,Despite the emergence of new areas, Ganjam continued to remain the place having high concentrated population affected by HIV and AIDS. The district reports 70 to 80 new cases every month.,According OSACS, about 19,188 people tested HIV cases in the State."
The untold story of HIV positive children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece'],)","The district administration, in association with the District AIDS Prevention and Control Unit, is contemplating extending health insurance to people with HIV in the district.,Addressing presspersons here on Tuesday, B. Shivappa, Deputy Commissioner, who is also chairman of the district-level coordination committee for preventing HIV/AIDS, said that details were being worked out with a private insurance company and would be finalised soon.,According to him, it was proposed to extend insurance cover to around 750 people with HIV in the first phase. The insurance company would meet the cost of treatment up to Rs. 15,000 a year.,For paying the premium, which comes to around Rs. 11 lakh a year to cover 750 people, the district administration plans to contact philanthropists. “If everything goes according to the plan, Bellary will be the first district in the State to extend this facility,” Mr. Shivappa said.,
,
,While stating that as many as 15,675 of over two-lakh people tested at the Integrated Counselling and Testing Centres (ICTC) proved to be HIV-positive in the district, Mr. Shivappa said the number was on the decline. The seropositivity rate among ICTCs had come down from 33.8 per cent in 2002 to 11.2 per cent in 2009. Similarly, in the Prevention from Parent to Child Transmission programme, the infection has stood at 0.6 per cent in 2009 from 1.64 per cent recorded in 2006.,According to him, a total of 8,658 people with HIV — 4,647 men, 3,966 women and 45 transgenders — have registered with the Anti-Retroviral Therapy (ART) centres, of which 4,609 people with HIV — 2,607 men, 1,977 women and 25 transgenders — were getting medicines. In addition, 642 children with HIV — 364 boys and 278 girls — have registered with ART centres, of whom 265 are being given medicines. He also said that there had been a fall in infection among youth below the age of 25 and the prevention, care and support services had been scaled up. Awareness was being created through several non-governmental organisations such as MYRADA, Vimukti, Nityajeevan, Population Services International and World Vision.,He said that World AIDS Day would be observed on December 1 with the focus on ‘Control of HIV/AIDS and Youth'. Dr. Narasimhamurthy, programme officer of the DAPCU, and Shrikant Basur, District Health Officer, were present."
The untold story of HIV positive children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece'],)","Australia has committed Rs. 45 crore (10 million Australian dollars) to help strengthen the response to the spread of HIV/AIDS in the North-East.,The Australian commitment came in the course of a five-day visit to the north-east by Australia's Deputy High Commissioner in India Lachlan Strahan. Coinciding with the World Aids Day on December 1,,Dr. Strahan met beneficiaries of Australian-funded anti-HIV/AIDS projects in the north-eastern States.,C. Shekhar Nambiar, Senior Adviser, Public Affairs and Cultural Relations of the Australian High Commission said in a press release that the funds would come through AusAID, Canberra's overseas development assistance programme.,The money supports a team of United Nations agencies working with civil society organisations, the State AIDS Control Societies, and the regional sub-office of the Centre's National AIDS Control Organisation (NACO) in Guwahati.,The aim of the programme is to improve the ability of officials and NGOs in the region to fight HIV.,During his visit to Guwahati, Shillong, Dimapur and Kohima, Dr. Strahan will meet government officials, the National AIDS Control Organisation, and the U.N. agencies to learn more about the situation, the media release added.,“This is an important health issue for the north-east” said Dr. Strahan. “Australian support will help build capacity within the government and civil society sectors to address the spread of HIV/AIDS and assist those affected to receive necessary treatment.,“Personally I am very interested to see the work being done on the ground. This is my first trip to the North-East and I have been struck by the warmth and hospitality of the local communities” he added."
Students to reduce stigma on HIV and AIDS,"(['http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/Students-to-reduce-stigma-on-HIV-and-AIDS/article16526747.ece'],)","Staff Reporter,
,
,
,
,
,
,Nagercoil: A non-governmental organisation based in Nagercoil has introduced a scheme to sensitise schoolchildren to reduce stigma and discrimination on HIV/AIDS issues.,It will revive the almost forgotten socio cultural tradition of storytelling.,There are many myths and misconceptions surrounding the spread and effect of HIV/AIDS and discrimination of the HIV-affected , particularly, women and children,Storytelling clubs had already been started in 36 schools in the first phase in different parts of the district. Each club has ten children from the Red Ribbon Clubs that have been promoted in the schools by the Tamil Nadu State AIDS Control Society – TANSACS.,The club members get adequate training in story developing and story telling techniques as also life skills by competent resource persons.,Around 45 trainings programmes have been conducted for them. During the training, adequate care was taken to make communication participatory and lively.,The story telling clubs have come out with 504 short stories on stigma /discrimination, some of them compete in quality and content that is deficient, by and large, among the debutants.,The NGO (Vasantham Trust) was now in the process of editing and developing them into a structured syllabus to be taught in the weekly once Red Ribbon classes. It was presumed that one STC member should conduct story telling session to ten to fifteen members in the school. Moreover, the children were effective communicators at community and family level. The STC members were expected to sensitise about 18,500 school children and their family members indirectly on reducing stigma/ discrimination through this innovative child friendly approach.,This was the first and bold attempt that the children prepare their own syllabus for addressing stigma, said the Headmaster of Government Girls’ Higher Secondary School, Marthandam, Lawrence.,This was an innovative idea recognised first by the World Bank when Vasantham Trust participated in the open competition for NGOs of nine South Asian countries on ‘Tackling HIV/AIDS’, said the Chief Educational Officer, Ponniha."
New HIV strain discovered in a woman from Cameroon,"(['http://www.thehindu.com/todays-paper/tp-features/tp-sci-tech-and-agri/New-HIV-strain-discovered-in-a-woman-from-Cameroon/article15951531.ece'],)","Srinagar: A Central Reserve Police Force (CRPF) jawan has died of HIV infection in Anantnag district of South Kashmir, a police spokesman said here on Wednesday.,Head Constable Gagveer Singh of 61st battalion died at the Public Health Centre at Verinag, 80 kms from here, on Tuesday night.,He said the deceased was HIV positive and was undergoing treatment in the health centre for the past couple of days."
The untold story of HIV positive children,"(['http://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/The-untold-story-of-HIV-positive-children/article15575911.ece'],)","Rise in HIV positive cases in Tirupur district is causing concern among the medical fraternity here.,“An average of 30 people are testing positive for HIV every month at the 22 Integrated Counselling and Testing Centres (ICTC) run by the Tamil Nadu State AIDS Control Society and the Anti-Retroviral Therapy (ART) Centre at the District Headquarters Hospital in the district,” Dr. N. Jegadeesan, medical officer at the ART centre in District Headquarters Hospital, told ,.,There could be more persons - not confirmed of having contracted the disease because they had not undergone tests, Dr. Jegadeesan said.,808 HIV cases,At present, 808 HIV positive persons have registered with the ART centre which was opened on April 1 this year.,Many other HIV positive cases from the district were being treated at the ART centre in Coimbatore, health department sources said.,Treatment for 521,Of the 808 people registered with the ART here, 521 were undergoing treatment. The remaining were still in the pre-ART stage (those who have CD4 counts of more than 250).,According to statistics, 403 of 808 were men, 363 women and 21 each were boys and girls, the sources said.,Dr. Jegadeesan said majority of those who were tested positive were between 20 and 30 years.,Unprotected sex was said to be the reason for the rising incidence of HIV in the district.,Difficulties in identifying infected migrant workers compounded the problem.,TANSACS has launched a series of sensitisation campaigns across the district to combat the disease."
