name,type
Newgate Court,CLASSIC ENSUITE
Newgate Court,CLASSIC STUDIO
Newgate Court,CLASSIC ACCESSIBLE STUDIO
Mary Brancker House,En-suites
Mary Brancker House,Studios
Cavendish Place,En-suites
Cavendish Place,Flats
Cavendish Place,Studios
Crown House,CLASSIC STUDIO
Crown House,PREMIUM RANGE 1 STUDIO
Crown House,PREMIUM RANGE 1 ONE BEDROOM FLAT
Crown House,CLASSIC ENSUITE
Crown House,PREMIUM RANGE 1 ENSUITE
Crown House,PREMIUM RANGE 2 ENSUITE
Riverside Point,PREMIUM RANGE 1 ENSUITE
Riverside Point,CLASSIC STUDIO
Riverside Point,PREMIUM RANGE 1 STUDIO
Riverside Point,CLASSIC ENSUITE
St Peters Court,PREMIUM RANGE 1 ENSUITE
St Peters Court,CLASSIC STUDIO
St Peters Court,CLASSIC ENSUITE
Sidney Webb House,En-suites
Arrad House,CLASSIC ENSUITE
Sherren House,En-suites
Filbert Village,CLASSIC ONE BEDROOM FLAT
Filbert Village,CLASSIC ACCESSIBLE ENSUITE
Filbert Village,PREMIUM RANGE 1 ENSUITE
Filbert Village,CLASSIC ENSUITE
Filbert Village,PREMIUM RANGE 2 ENSUITE
Filbert Village,CLASSIC STUDIO
The Grange,PREMIUM RANGE 1 STUDIO
The Grange,BASIC ENSUITE
The Grange,CLASSIC ENSUITE
The Grange,CLASSIC STUDIO
James Baillie Park,En-suites
James Baillie Park,Non-en-suites
James Baillie Park,Studios
Saw Mill,BASIC ENSUITE
Saw Mill,CLASSIC ENSUITE
Saw Mill,PREMIUM RANGE 1 ENSUITE
Saw Mill,CLASSIC STUDIO
Saw Mill,PREMIUM RANGE 1 STUDIO
Saw Mill,PREMIUM RANGE 1 ACCESSIBLE STUDIO
Saw Mill,PREMIUM RANGE 2 ENSUITE
Saw Mill,PREMIUM RANGE 2 ACCESSIBLE ENSUITE
Newarke Point,CLASSIC STUDIO
Newarke Point,PREMIUM RANGE 1 STUDIO
Newarke Point,PREMIUM RANGE 1 ENSUITE
The Tannery,BASIC STUDIO
The Tannery,CLASSIC ACCESSIBLE STUDIO
The Tannery,CLASSIC STUDIO
The Tannery,PREMIUM RANGE 1 STUDIO
St Martins House,CLASSIC ENSUITE
St Martins House,CLASSIC STUDIO
St Martins House,PREMIUM RANGE 1 STUDIO
St Martins House,PREMIUM RANGE 1 ENSUITE
Firth Point,CLASSIC ENSUITE
Snow Island,CLASSIC ENSUITE
Sky Plaza,CLASSIC ENSUITE
Snow Island,PREMIUM RANGE 1 ENSUITE
Snow Island,PREMIUM RANGE 2 ENSUITE
Sky Plaza,PREMIUM RANGE 1 ENSUITE
Sky Plaza,PREMIUM RANGE 2 ENSUITE
Sky Plaza,PREMIUM RANGE 3 ENSUITE
Sky Plaza,CLASSIC STUDIO
Sky Plaza,PREMIUM RANGE 2 STUDIO
Sky Plaza,PREMIUM RANGE 1 STUDIO
Sky Plaza,CLASSIC ONE BEDROOM FLAT
Sky Plaza,PREMIUM RANGE 1 ONE BEDROOM FLAT
Sky Plaza,PREMIUM RANGE 4 TWO BED FLAT
The Priory,PREMIUM RANGE 2 ENSUITE
The Priory,BASIC STUDIO
The Priory,CLASSIC STUDIO
The Priory,PREMIUM RANGE 1 STUDIO
The Priory,PREMIUM RANGE 2 STUDIO
